CustomerID;Age;Gender;Income;VisitFrequency;AverageSpend;PreferredCuisine;TimeOfVisit;GroupSize;DiningOccasion;MealType;OnlineReservation;DeliveryOrder;LoyaltyProgramMember;WaitTime;ServiceRating;FoodRating;AmbianceRating;HighSatisfaction
654;35;Male;83380;Weekly;27.829.142.002.481.400;Chinese;Breakfast;3;Business;Takeaway;0;1;1;4.352.392.853.444.240;2;5;4;0
655;19;Male;43623;Rarely;1.154.086.222.968.230;American;Dinner;1;Casual;Dine-in;0;0;0;57.524.294.460.377.200;5;5;3;0
656;41;Female;83737;Weekly;10.669.377.117.040.000;American;Dinner;6;Celebration;Dine-in;0;1;0;4.868.262.293.174.670;3;4;5;0
657;43;Male;96768;Rarely;43.508.507.728.537.200;Indian;Lunch;1;Celebration;Dine-in;0;0;0;7.552.992.639.069.940;4;5;1;0
658;55;Female;67937;Monthly;1.480.846.271.884.070;Chinese;Breakfast;1;Business;Takeaway;0;0;1;3.778.904.074.149.970;2;3;5;0
659;42;Female;28860;Monthly;11.106.469.580.573.000;Chinese;Dinner;8;Celebration;Takeaway;0;1;1;26.853.297.520.593.700;4;5;3;0
660;20;Female;131104;Weekly;12.023.670.672.362.600;Indian;Lunch;6;Business;Dine-in;0;0;0;7.927.917.127.986.910;5;4;1;0
661;51;Female;137882;Weekly;160.979.098.005.899;Mexican;Dinner;6;Business;Dine-in;1;1;0;56.447.209.596.819.200;4;3;3;0
662;27;Male;149638;Weekly;5.655.863.192.788.390;Indian;Breakfast;5;Celebration;Takeaway;0;1;0;3.956.818.760.841.330;2;4;5;0
663;32;Female;136145;Weekly;6.575.345.485.089.940;Italian;Lunch;9;Casual;Takeaway;0;0;0;20.782.469.072.397.700;4;3;1;0
664;21;Male;79249;Monthly;3.923.538.252.336.570;American;Breakfast;5;Business;Takeaway;0;1;0;1.894.857.239.916.810;1;3;2;0
665;59;Male;94208;Weekly;13.299.491.822.652.000;Italian;Dinner;8;Casual;Dine-in;0;0;1;5.504.547.514.948.150;3;3;3;0
666;32;Female;143471;Monthly;15.613.080.832.081.600;American;Breakfast;4;Casual;Takeaway;0;1;0;4.710.545.698.906.530;5;2;4;0
667;69;Male;38433;Daily;4.613.686.494.728.660;Italian;Dinner;4;Business;Takeaway;0;1;1;20.243.443.099.287.200;1;4;3;0
668;58;Male;64870;Monthly;8.893.909.785.381.420;American;Lunch;2;Celebration;Dine-in;0;0;1;5.827.164.817.228.280;2;4;2;0
669;54;Female;135616;Rarely;11.200.754.119.239.500;American;Lunch;2;Business;Takeaway;1;0;0;2.328.375.335.155.360;4;4;3;0
670;59;Female;123325;Weekly;63.939.239.535.459.700;Chinese;Dinner;4;Casual;Takeaway;1;0;1;26.735.927.480.409.200;3;5;5;1
671;42;Male;25569;Monthly;12.039.019.102.991.200;American;Dinner;3;Casual;Dine-in;0;0;1;5.493.378.361.480.980;1;3;3;0
672;26;Female;120447;Weekly;5.211.032.383.395.980;Mexican;Dinner;1;Casual;Takeaway;1;1;1;2.072.625.134.788.510;3;1;3;0
673;58;Male;70458;Rarely;19.737.053.413.565.900;Italian;Dinner;4;Casual;Takeaway;1;0;1;40.374.425.145.013.700;1;2;1;0
674;27;Female;41450;Weekly;1.467.769.736.278.370;Chinese;Dinner;5;Celebration;Dine-in;0;0;0;9.871.496.976.096.520;1;1;3;0
675;40;Female;85259;Monthly;6.145.665.859.473.120;Indian;Dinner;9;Business;Dine-in;0;1;1;12.834.379.234.753.200;3;2;5;0
